suspensionStiffness: 1 occurrences, first at byte 1045617
finish: 4 occurrences, first at byte 619171
Finish: 11 occurrences, first at byte 1039612
elapsed: 0 occurrences, first at byte -1
timer: 1 occurrences, first at byte 1162707
raceTime: 0 occurrences, first at byte -1
isFinished: 0 occurrences, first at byte -1
finishLine: 0 occurrences, first at byte -1
getVehicle: 0 occurrences, first at byte -1
Vehicle: 3 occurrences, first at byte 1044250
applyEngineForce: 6 occurrences, first at byte 1056009
setBrake: 15 occurrences, first at byte 1052503
steeringValue: 0 occurrences, first at byte -1
Ammo: 126 occurrences, first at byte 1023454
btRigidBody: 8 occurrences, first at byte 1043914
